timestamp,ip_src,ip_dst,ip_proto,sport,dport,tcp_flags,label
1718872150.184135,192.168.200.95,239.255.255.250,17,64983,1900,0,0
1718872150.264096,192.168.200.130,224.0.0.251,17,5353,5353,0,0
1718872150.348939,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872150.422545,192.168.200.241,239.255.255.250,17,61998,3702,0,0
1718872150.48952,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872150.565608,192.168.200.95,239.255.102.18,17,51138,50002,0,0
1718872150.649122,192.168.200.95,239.255.102.18,17,51139,50003,0,0
1718872150.715349,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872150.782327,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872150.857823,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872150.93288,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.082711,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.148055,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.228559,192.168.200.146,239.255.255.250,17,53697,3702,0,0
1718872151.295953,192.168.200.169,224.0.0.251,17,5353,5353,0,0
1718872151.365065,192.168.200.146,239.255.255.250,17,53697,3702,0,0
1718872151.431048,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.514323,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.59732,192.168.200.95,239.255.255.250,17,64982,1900,0,0
1718872151.664405,192.168.200.95,239.255.255.250,17,64983,1900,0,0
1718872151.73116,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.822594,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.88063,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872151.957856,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.030586,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.097207,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.174453,192.168.200.146,239.255.255.250,17,53697,3702,0,0
1718872152.245616,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872152.323721,192.168.200.146,192.168.200.255,17,137,137,0,0
1718872152.386403,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.478799,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.552313,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.637174,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872152.729147,192.168.200.146,239.255.255.250,17,53697,3702,0,0
1718872152.811807,192.168.200.95,239.255.255.250,17,64982,1900,0,0
1718872152.878999,192.168.200.95,239.255.255.250,17,64983,1900,0,0
1718872152.945689,192.168.200.146,192.168.200.255,17,137,137,0,0
1718872153.011614,192.168.200.146,239.255.255.250,17,53700,1900,0,0
1718872153.086115,192.168.200.241,239.255.255.250,17,61998,3702,0,0
1718872153.160435,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872153.239119,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872153.311258,192.168.200.95,239.255.102.18,17,57784,50001,0,0
1718872153.379399,192.168.200.95,239.255.102.18,17,57785,50002,0,0
1718872153.44581,192.168.200.95,239.255.102.18,17,57786,50003,0,0
1718872153.527893,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872153.596868,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872153.662275,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872153.729028,192.168.200.146,192.168.200.255,17,137,137,0,0
1718872153.796284,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872153.875428,192.168.200.95,239.255.255.250,17,64983,1900,0,0
1718872153.954777,192.168.200.95,239.255.255.250,17,64982,1900,0,0
1718872154.029231,192.168.200.146,239.255.255.250,17,53697,3702,0,0
1718872154.101006,192.168.200.146,239.255.255.250,17,53700,1900,0,0
1718872154.174738,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.247317,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.320651,192.168.200.95,239.255.102.18,17,62791,50001,0,0
1718872154.392295,192.168.200.95,239.255.102.18,17,62792,50002,0,0
1718872154.44911,192.168.200.95,239.255.102.18,17,62793,50003,0,0
1718872154.521274,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.585372,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.659156,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.727283,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.795933,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872154.860491,192.168.200.120,35.190.80.1,6,50165,443,A,0
1718872154.921578,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872154.987913,35.190.80.1,192.168.200.120,6,443,50165,A,0
1718872155.043308,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872155.116365,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872155.195189,192.168.200.146,239.255.255.250,17,53700,1900,0,0
1718872155.277023,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872155.34378,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872155.399459,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872155.489507,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872155.609313,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872155.686408,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872155.875652,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872155.93826,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.010209,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.0879,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.144471,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.212111,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.282511,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.350552,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.423106,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.494837,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.574487,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872156.642288,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.694928,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.780283,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.847537,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.92448,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872156.977423,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872157.057175,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872157.111252,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872157.177784,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872157.26004,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872157.327035,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872157.393954,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872157.463381,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872157.529542,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872157.623932,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872157.695745,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872157.766049,192.168.200.231,239.254.127.63,17,48000,48000,0,0
1718872157.838362,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872157.907619,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872157.960138,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872158.040338,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872158.093308,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872158.178452,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872158.242824,142.251.47.206,192.168.200.120,17,443,59962,0,0
1718872158.323784,192.168.200.120,142.251.47.206,17,59962,443,0,0
1718872158.396377,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872158.462894,192.168.200.153,239.254.127.63,17,48000,48000,0,0
1718872158.527558,192.168.200.73,224.0.0.251,17,5353,5353,0,0
